probability_bin,samples,low_uncertainty_samples,high_uncertainty_samples,low_uncertainty_error,high_uncertainty_error,error_difference_high_minus_low,low_mean_variance,high_mean_variance,mean_probability
0.00-0.10,689,345,344,0.08405797101449275,0.05232558139534884,-0.03173238961914391,0.0001630462967392602,0.000359607419640914,0.09060797832067181
0.10-0.20,12647,6324,6323,0.17093611638203668,0.16606041436027202,-0.004875702021764655,0.00017468077638162365,0.0007138227280821305,0.15621639507780485
0.20-0.30,14392,7196,7196,0.7188715953307393,0.7128960533629795,-0.005975541967759845,0.00033022163898688533,0.0013147068348937588,0.24827214821472265
0.30-0.40,6502,3251,3251,0.6247308520455245,0.579206398031375,-0.04552445401414951,0.0006231110632165251,0.002667336675711726,0.33727460758629557
0.40-0.50,722,361,361,0.5013850415512465,0.49584487534626037,-0.005540166204986152,0.0017466564800352271,0.006045600771531152,0.42823730868587373
