,AUC,PR_AUC,Brier,Accuracy
logit,0.6176242654780351,0.34669728826121715,0.1892737742486286,0.7353748498884886
xgb,0.6526078717864411,0.38681953359618493,0.18484820799746415,0.7370618173500314
rf,0.6346750930423062,0.36534846318840847,0.18720903283685883,0.7359467032652828
extra_trees,0.6244064416329742,0.35669260935333447,0.188532129569736,0.7361182592783211
catboost,0.6517776518532326,0.38685876290494997,0.18467449843670752,0.7361468519471608
hgb,0.642760922696294,0.37555620710420695,0.18591776756804376,0.7360610739406416
