decision,prob_samples,prob_percentage,prob_defaults,prob_default_rate,prob_default_capture,unc_samples,unc_percentage,unc_defaults,unc_default_rate,unc_default_capture
auto_process,13336,38.13118316463659,2178,0.16331733653269345,23.584190579317813,13309,38.053982958769375,2176,0.16349838455180704,23.56253383865728
escalate_for_review,1,0.00285926688397095,1,1.0,0.010828370330265295,0,0.0,0,0.0,0.0
manual_review,21637,61.865957568479445,7056,0.32610805564542217,76.40498105035192,21665,61.946017041230625,7059,0.3258250634664205,76.43746616134271
