bin,lower,upper,samples,mean_predicted,observed_default_rate
1,0.0,0.1,689,0.09060797832067181,0.06821480406386067
2,0.1,0.2,12647,0.15621639507780485,0.16849845813236342
3,0.2,0.30000000000000004,14392,0.24827214821472265,0.2841161756531406
4,0.30000000000000004,0.4,6502,0.33727460758629557,0.3980313749615503
5,0.4,0.5,722,0.42823730868587373,0.5013850415512465
6,0.5,0.6000000000000001,21,0.5142000182762915,0.8095238095238095
7,0.6000000000000001,0.7000000000000001,1,0.6129369612581915,1.0
