iter	Logloss
112	0.6659797269
113	0.665887426
114	0.6657892337
115	0.6657049495
116	0.6656158081
117	0.6655200604
118	0.6654219889
119	0.6653314636
120	0.6652474262
121	0.6651579151
122	0.6650763569
123	0.664989787
124	0.6648980363
125	0.664801985
126	0.6647200781
127	0.6646272301
128	0.6645462272
129	0.6644630894
130	0.6643713208
131	0.6642750984
132	0.6641913917
133	0.664113322
134	0.6640353979
135	0.6639482922
136	0.6638685838
137	0.6637974649
138	0.6637255727
139	0.6636444763
140	0.6635692462
141	0.6634885956
142	0.6634111843
143	0.6633438568
144	0.6632754539
145	0.6631937697
146	0.6631349195
147	0.6630604141
148	0.6629933979
149	0.6629192416
150	0.6628534427
151	0.6627841672
152	0.6627226131
153	0.6626451193
154	0.6625794512
155	0.6625185953
156	0.662459511
157	0.6623828168
158	0.6623246949
159	0.6622574143
160	0.662182526
161	0.6621215395
162	0.6620760061
163	0.6620116208
164	0.6619402474
165	0.6618810318
166	0.661818722
167	0.6617513439
168	0.6616815212
169	0.6616191926
170	0.6615614698
171	0.6615069469
172	0.6614420261
173	0.6613821216
174	0.6613244375
175	0.6612681201
176	0.6612166795
177	0.6611671104
178	0.6611024369
179	0.6610509695
180	0.6609956153
181	0.6609350227
182	0.6608723657
183	0.6608081278
184	0.6607490019
185	0.66068622
186	0.6606297329
187	0.6605743394
188	0.6605197025
189	0.6604586554
190	0.6604103472
191	0.660366741
192	0.6603168235
193	0.6602599488
194	0.660208879
195	0.6601680681
196	0.6601207197
197	0.6600675544
198	0.6600210116
199	0.6599700679
200	0.6599225567
201	0.6598800871
202	0.6598306675
203	0.6597825163
204	0.6597358123
205	0.6596947119
206	0.6596472069
207	0.6595984148
208	0.6595563882
209	0.6595133873
210	0.6594707323
211	0.6594327552
212	0.6593821118
213	0.6593503555
214	0.659296922
215	0.6592547257
216	0.6592109696
217	0.6591689255
218	0.6591206203
219	0.6590621991
220	0.6590131917
221	0.6589776043
222	0.6589329545
223	0.6588907049
224	0.6588466291
225	0.6588131278
226	0.6587704346
227	0.6587305649
228	0.6586935772
229	0.6586621583
230	0.6586165197
231	0.6585762332
232	0.6585277296
233	0.6584862486
234	0.6584421817
235	0.6584058074
236	0.6583619904
237	0.6583254021
238	0.6582806311
239	0.6582385351
240	0.6582072296
241	0.6581759758
242	0.6581416506
243	0.6581149757
244	0.6580715643
245	0.6580429723
246	0.6580029453
247	0.6579610859
248	0.6579281711
249	0.6578795666
250	0.6578469319
251	0.6578068613
252	0.6577699232
253	0.6577301719
254	0.6576969149
255	0.6576657416
256	0.657628665
257	0.6575970939
258	0.6575482869
259	0.6575049112
260	0.6574768928
261	0.6574481093
262	0.6574177981
263	0.6573853387
264	0.6573504417
265	0.6573196368
266	0.6572875768
267	0.6572497945
268	0.6572155851
269	0.6571729583
270	0.6571320181
271	0.6571042446
272	0.6570654363
273	0.6570436256
274	0.657002711
275	0.6569629108
276	0.6569241741
277	0.6568882445
278	0.6568575399
279	0.6568213079
280	0.6567915907
281	0.6567626746
282	0.6567253991
283	0.6566938748
284	0.6566679987
285	0.6566291373
286	0.6566042646
287	0.6565630614
288	0.6565313175
289	0.6565015917
290	0.6564709894
291	0.6564500329
292	0.6564210658
293	0.6563898629
294	0.6563472741
295	0.6563170164
296	0.6562956335
297	0.6562716194
298	0.6562451272
299	0.6562092254
300	0.6561729762
301	0.6561442666
302	0.6561011975
303	0.6560692925
304	0.6560341434
305	0.6560036904
306	0.6559740116
307	0.655964052
308	0.6559453564
309	0.6559193807
310	0.655894199
311	0.6558523213
312	0.6558244236
313	0.6557997614
314	0.6557723623
315	0.65575322
316	0.6557263987
317	0.6556991955
318	0.6556688448
319	0.6556404678
320	0.6556173396
321	0.6555907181
322	0.6555774791
323	0.655549696
324	0.6555244476
325	0.6555062648
326	0.6554797661
327	0.6554592167
328	0.6554563838
329	0.6554346533
330	0.6554109748
331	0.6553841388
332	0.6553456846
333	0.6553204466
334	0.6553059757
335	0.6552847062
336	0.6552639628
337	0.6552250029
338	0.6552062379
339	0.6551857295
340	0.6551678301
341	0.6551400216
342	0.6551103802
343	0.6550819734
344	0.6550547357
345	0.6550329346
346	0.6550156777
347	0.6549898212
348	0.6549651024
349	0.6549421816
350	0.6549223416
351	0.6548978961
352	0.6548737288
353	0.6548544458
354	0.6548400268
355	0.6548192576
356	0.6547876652
357	0.6547660171
358	0.6547338578
359	0.6547081392
360	0.6546741695
361	0.6546490026
362	0.6546275097
363	0.6546036983
364	0.6545802303
365	0.6545457594
366	0.6545198181
367	0.65449958
368	0.6544772592
369	0.654455177
370	0.6544395491
371	0.6544193616
372	0.654393831
373	0.6543617794
374	0.6543350689
375	0.6543128042
376	0.6542873379
377	0.6542604056
378	0.6542266272
379	0.6542038718
380	0.6541827726
381	0.654160597
382	0.6541380523
383	0.6541170578
384	0.6541036543
385	0.6540890192
386	0.6540626616
387	0.6540452611
388	0.6540428587
389	0.6540222345
390	0.6540087997
391	0.6539866207
392	0.6539691614
393	0.653951607
394	0.653930309
395	0.6539073155
396	0.6538884174
397	0.6538654385
398	0.6538384096
399	0.6538201582
400	0.6537972897
401	0.6537764416
402	0.6537510312
403	0.6537242729
404	0.653685422
405	0.6536675583
406	0.6536503664
407	0.653633352
408	0.6536183542
409	0.6535956406
410	0.6535811652
411	0.6535659234
412	0.653550222
413	0.653519507
414	0.6534992
415	0.6534795636
416	0.6534606348
417	0.6534432221
418	0.6534274814
419	0.6534074488
420	0.653389345
421	0.6533707014
422	0.6533517199
423	0.6533321739
424	0.6533138007
425	0.6532927859
426	0.653271811
427	0.6532544284
428	0.6532380988
429	0.6532314596
430	0.6532154724
431	0.6531802396
432	0.6531622079
433	0.6531433534
434	0.65312246
435	0.6531120843
436	0.6530916165
437	0.6530617677
438	0.6530457717
439	0.6530322691
440	0.6530148169
441	0.6529954992
442	0.6529767913
443	0.6529618653
444	0.6529443094
445	0.6529314741
446	0.6529152739
447	0.6528989962
448	0.6528830273
449	0.6528577023
450	0.6528372769
451	0.6528150265
452	0.6527960172
453	0.6527706305
454	0.6527460025
455	0.6527307501
456	0.6527107209
457	0.6526975611
458	0.6526828101
459	0.6526561091
460	0.6526487754
461	0.6526285784
462	0.6526125871
463	0.6525910688
464	0.6525781214
465	0.652562081
466	0.65253933
467	0.6525235587
468	0.6524966938
469	0.6524799883
470	0.6524632207
471	0.6524423847
472	0.6524236343
473	0.6524008626
474	0.6523850503
475	0.6523722103
476	0.6523536023
477	0.652337893
478	0.6523233451
479	0.6523039122
480	0.652282359
481	0.6522590146
482	0.6522441462
483	0.6522199189
484	0.6522038011
485	0.6521887136
486	0.6521663898
487	0.6521481086
488	0.6521266534
489	0.6521100822
490	0.6520947652
491	0.6520782313
492	0.6520628132
493	0.6520475745
494	0.6520276919
495	0.6520013621
496	0.6519807767
497	0.6519648562
498	0.6519480991
499	0.6519297776
500	0.6519128941
501	0.6518970364
502	0.651881989
503	0.6518763779
504	0.6518534024
505	0.6518423198
506	0.6518263085
507	0.651809846
508	0.6517908793
509	0.6517790791
510	0.6517583671
511	0.6517455761
512	0.6517351766
513	0.6517078394
514	0.6516972786
515	0.651677161
516	0.6516563644
517	0.6516526442
518	0.6516313497
519	0.6516095019
520	0.6515911239
521	0.6515757365
522	0.6515643976
523	0.6515536336
524	0.6515280449
525	0.6515104139
526	0.6514964168
527	0.6514662234
528	0.6514409611
529	0.6514219853
530	0.65140714
531	0.6513906477
532	0.6513749391
533	0.6513627021
534	0.6513498044
535	0.6513356649
536	0.6513328096
537	0.6513211159
538	0.6513087981
539	0.6512942164
540	0.6512725905
541	0.6512584501
542	0.6512450977
543	0.6512309811
544	0.6512184619
545	0.6511988119
546	0.6511696243
547	0.6511555193
548	0.6511419593
549	0.6511233437
550	0.6511043208
551	0.6510963208
552	0.6510798609
553	0.6510645414
554	0.651038205
555	0.6510198379
556	0.6510071936
557	0.6509959377
558	0.6509738975
559	0.6509639333
560	0.6509497569
561	0.6509302346
562	0.6509225287
563	0.6509012993
564	0.6508848387
565	0.6508688705
566	0.6508516902
567	0.6508417796
568	0.6508250359
569	0.6508034969
570	0.6507861936
571	0.6507686014
572	0.6507604013
573	0.6507497157
574	0.6507336458
575	0.6507205347
576	0.6507019726
577	0.6506845942
578	0.6506646448
579	0.6506534316
580	0.6506387614
581	0.6506217001
582	0.6506091183
583	0.6505954536
584	0.6505824552
585	0.6505709573
586	0.6505599256
587	0.6505453474
588	0.6505278569
589	0.6505107133
590	0.6504973216
591	0.6504769356
592	0.6504656022
593	0.6504519035
594	0.650433954
595	0.6504212652
596	0.6504020047
597	0.6503815782
598	0.6503665838
599	0.650344078
600	0.6503351839
601	0.6503201083
602	0.6503077092
603	0.6502923558
604	0.6502781913
605	0.6502618615
606	0.6502402015
607	0.6502237997
608	0.650212206
609	0.6501945809
610	0.6501808205
611	0.6501688814
612	0.6501582558
613	0.6501398398
614	0.6501280691
615	0.6501136814
616	0.6500948432
617	0.6500825409
618	0.6500662413
619	0.6500540204
620	0.6500353012
621	0.6500133334
622	0.6500033768
623	0.64998585
624	0.64998585
625	0.6499696449
626	0.6499543228
627	0.6499401061
628	0.6499244934
629	0.6499096136
630	0.6498958159
631	0.6498795465
632	0.6498687222
633	0.6498500383
634	0.6498392399
635	0.6498248447
636	0.6498166856
637	0.649799026
638	0.6497950317
639	0.6497796629
640	0.6497675283
641	0.6497528102
642	0.649752041
643	0.6497367329
644	0.6497233659
645	0.6497136171
646	0.6496977161
647	0.6496870902
648	0.6496669582
649	0.6496552793
650	0.649648439
651	0.6496308959
652	0.6496218285
653	0.6496088145
654	0.649607955
655	0.6495986836
656	0.6495866072
657	0.649568461
658	0.6495542943
659	0.6495376575
660	0.6495249764
661	0.6495108682
662	0.6495108682
663	0.6494933866
664	0.6494772857
665	0.6494618734
666	0.6494435597
667	0.6494316363
668	0.6494299426
669	0.6494091293
670	0.6494005466
671	0.6493835725
672	0.6493643443
673	0.6493552895
674	0.6493392396
675	0.6493244849
676	0.6493056135
677	0.6492833759
678	0.6492690193
679	0.6492528083
680	0.6492456823
681	0.6492252377
682	0.6492132796
683	0.6491973071
684	0.6491843918
685	0.6491715413
686	0.6491489608
687	0.6491314709
688	0.6491228807
689	0.6491211165
690	0.6491100372
691	0.6490992358
692	0.6490928113
693	0.6490772985
694	0.6490605942
695	0.6490466056
696	0.6490381221
697	0.6490252759
698	0.6490121821
699	0.648989213
700	0.6489759762
701	0.6489691415
702	0.6489562314
703	0.6489433502
704	0.6489242781
705	0.6489117867
706	0.6489019775
707	0.6488953761
708	0.6488751488
709	0.6488685512
710	0.6488566734
711	0.6488541118
712	0.6488417832
713	0.6488275816
714	0.6488123612
715	0.6487912591
716	0.6487828822
717	0.6487769505
718	0.6487607652
719	0.6487394934
720	0.6487307681
721	0.6487194709
722	0.6487068779
723	0.6487005638
724	0.6486959569
725	0.6486760202
726	0.6486651613
727	0.6486508529
728	0.6486439213
729	0.6486295294
730	0.6486182263
731	0.6486011739
732	0.6485890977
733	0.6485866931
734	0.6485810892
735	0.6485645034
736	0.6485535199
737	0.6485441204
738	0.6485320919
739	0.6485221891
740	0.648503052
741	0.6484863864
742	0.6484707516
743	0.6484587393
744	0.6484428291
745	0.6484404042
746	0.6484283026
747	0.648417894
748	0.6484094812
749	0.6483910786
750	0.6483748362
751	0.6483587145
752	0.6483500865
753	0.6483383717
754	0.6483230165
755	0.6483124871
756	0.6483032348
757	0.6482922794
758	0.6482755679
759	0.6482692678
760	0.648253759
761	0.6482401078
762	0.6482253747
763	0.6482140321
764	0.6482023996
765	0.6481953216
766	0.6481794313
767	0.6481651789
768	0.6481646007
769	0.6481514354
770	0.6481443475
771	0.6481377837
772	0.6481206429
773	0.6481029342
774	0.6480962537
775	0.648084696
776	0.6480708966
777	0.6480430562
778	0.6480419015
779	0.6480355326
780	0.6480203359
781	0.6480096159
782	0.6479972023
783	0.6479868873
784	0.647975037
785	0.647962146
786	0.6479568932
787	0.6479460777
788	0.6479316875
789	0.6479226509
790	0.6479124035
791	0.6478976804
