iter	Logloss
0	0.692569225
1	0.6920585046
2	0.6915366498
3	0.6910012791
4	0.6904691865
5	0.6899969298
6	0.6895055925
7	0.6890319101
8	0.6885645749
9	0.6881084737
10	0.6876370446
11	0.6872104851
12	0.6867486249
13	0.6863119009
14	0.685866317
15	0.6854883753
16	0.6850934317
17	0.6846893485
18	0.6843058433
19	0.6839197501
20	0.6835662024
21	0.6832202488
22	0.682841647
23	0.6825134343
24	0.6821607708
25	0.6818185751
26	0.6814920232
27	0.6811897249
28	0.6808577928
29	0.6805532701
30	0.6802491656
31	0.6799601587
32	0.6796770191
33	0.6793981112
34	0.67911641
35	0.6788227274
36	0.678554121
37	0.6783074602
38	0.6780350087
39	0.6777767345
40	0.6775225911
41	0.6772808663
42	0.677036106
43	0.676801003
44	0.6765624225
45	0.6763253438
46	0.6761072563
47	0.6758757452
48	0.6756459958
49	0.6754634061
50	0.6752198401
51	0.6750058733
52	0.674806982
53	0.6745909692
54	0.6743635615
55	0.674157228
56	0.67393301
57	0.673735547
58	0.6735767525
59	0.673391346
60	0.6731947563
61	0.6730018547
62	0.6728369712
63	0.6726686044
64	0.6724848668
65	0.6723093947
66	0.6721335652
67	0.6719498709
68	0.6717920552
69	0.6716478096
70	0.6714736647
71	0.6713107275
72	0.6711742144
73	0.6710168901
74	0.6708404975
75	0.6706842341
76	0.6705121088
77	0.6703347608
78	0.6701888436
79	0.6700267523
80	0.6698815991
81	0.6697437349
82	0.6695805172
83	0.6694288618
84	0.6692869354
85	0.6691603594
86	0.6690080952
87	0.6688854588
88	0.668750595
89	0.6686189366
90	0.6684750995
91	0.668324774
92	0.6682091874
93	0.668088033
94	0.6679679465
95	0.6678466427
96	0.6677199941
97	0.6676294304
98	0.6674963315
99	0.6673973007
100	0.6672785728
101	0.6671660581
102	0.6670541513
103	0.6669449425
104	0.6668376844
105	0.6667362333
106	0.6666266077
107	0.6665138538
108	0.6663967817
109	0.6662937682
110	0.666182827
111	0.6660805563
